111.205.62.207,112.90.80.101,50983,tcp
111.205.62.207,112.90.80.101,50987,tcp
111.205.62.207,112.90.80.101,55513,tcp
111.205.62.207,112.90.80.101,55516,tcp
111.205.62.207,112.90.80.101,55517,tcp
111.205.62.207,112.90.80.101,55519,tcp
111.205.62.207,112.90.80.101,55551,tcp
111.205.62.207,112.90.80.101,55552,tcp
111.205.62.207,112.90.80.101,55641,tcp
111.205.62.207,112.90.80.101,51268,tcp
111.205.62.207,112.90.80.101,46538,tcp
111.205.62.207,112.90.80.101,46551,tcp
111.205.62.207,112.90.80.101,56001,tcp
111.205.62.207,112.90.80.101,56115,tcp
111.205.62.207,112.90.80.101,51553,tcp
111.205.62.207,112.90.80.101,51561,tcp
111.205.62.207,112.90.80.101,56251,tcp
111.205.62.207,112.90.80.101,47108,tcp
111.205.62.207,112.90.80.101,56392,tcp
111.205.62.207,112.90.80.101,47307,tcp
111.205.62.207,112.90.80.101,56459,tcp
111.205.62.207,112.90.80.101,56472,tcp
111.205.62.207,112.90.80.101,52526,tcp
111.205.62.207,112.90.80.101,52534,tcp
111.205.62.207,112.90.80.101,52731,tcp
111.205.62.207,112.90.80.101,47816,tcp
111.205.62.207,112.90.80.101,53061,tcp
111.205.62.207,112.90.80.101,53068,tcp
111.205.62.207,112.90.80.101,48180,tcp
111.205.62.207,112.90.80.101,48305,tcp
111.205.62.207,112.90.80.101,53751,tcp
111.205.62.207,112.90.80.101,53758,tcp
202.89.233.100,111.205.62.207,443,tcp
111.205.62.207,202.89.233.100,54436,tcp
111.205.62.207,202.89.233.100,54520,tcp
111.205.62.207,202.89.233.100,54435,tcp
111.205.62.207,202.89.233.100,62047,tcp
111.205.62.207,202.89.233.100,63408,tcp
111.205.62.207,202.89.233.100,64821,tcp
111.205.62.207,202.89.233.100,64935,tcp
111.205.62.207,202.89.233.100,57970,tcp
111.205.62.207,202.89.233.100,57972,tcp
111.205.62.207,202.89.233.100,63886,tcp
111.205.62.207,202.89.233.100,63887,tcp
111.205.62.207,202.89.233.100,64172,tcp
111.205.62.207,202.89.233.100,52843,tcp
111.205.62.207,202.89.233.100,55167,tcp
111.205.62.207,202.89.233.100,55231,tcp
111.205.62.207,202.89.233.100,55499,tcp
111.205.62.207,202.89.233.100,55599,tcp
111.205.62.207,202.89.233.100,55652,tcp
111.205.62.207,202.89.233.100,57095,tcp
111.205.62.207,202.89.233.100,56988,tcp
111.205.62.207,202.89.233.100,56996,tcp
111.205.62.207,202.89.233.100,12774,tcp
111.205.62.207,202.89.233.100,12801,tcp
111.205.62.207,202.89.233.100,57036,tcp
111.205.62.207,202.89.233.100,57313,tcp
111.205.62.207,202.89.233.100,14998,tcp
202.89.233.100,111.205.62.207,443,tcp
111.205.62.207,202.89.233.100,57360,tcp
111.205.62.207,202.89.233.100,51503,tcp
111.205.62.207,202.89.233.100,22914,tcp
111.205.62.207,202.89.233.100,22913,tcp
111.205.62.207,202.89.233.100,22915,tcp
111.205.62.207,202.89.233.100,22912,tcp
111.205.62.207,202.89.233.100,46135,tcp
111.205.62.207,202.89.233.100,1682,tcp
111.205.62.207,202.89.233.100,4027,tcp
111.205.62.207,202.89.233.100,4024,tcp
111.205.62.207,202.89.233.100,51215,tcp
111.205.62.207,202.89.233.100,4035,tcp
111.205.62.207,202.89.233.100,51534,tcp
111.205.62.207,202.89.233.100,52755,tcp
111.205.62.207,202.89.233.100,4046,tcp
111.205.62.207,202.89.233.100,51626,tcp
111.205.62.207,202.89.233.100,51693,tcp
111.205.62.207,202.89.233.100,52778,tcp
111.205.62.207,202.89.233.100,4056,tcp
111.205.62.207,202.89.233.100,4060,tcp
111.205.62.207,202.89.233.100,53402,tcp
111.205.62.207,202.89.233.100,4075,tcp
111.205.62.207,202.89.233.100,11144,tcp
111.205.62.207,202.89.233.100,4081,tcp
111.205.62.207,202.89.233.100,4092,tcp
111.205.62.207,202.89.233.100,4110,tcp
111.205.62.207,202.89.233.100,4117,tcp
111.205.62.207,202.89.233.100,4124,tcp
111.205.62.207,202.89.233.100,4139,tcp
111.205.62.207,202.89.233.100,4151,tcp
111.205.62.207,202.89.233.100,4159,tcp
111.205.62.207,202.89.233.100,4166,tcp
111.205.62.207,202.89.233.100,52603,tcp
111.205.62.207,202.89.233.100,4178,tcp
111.205.62.207,202.89.233.100,52669,tcp
111.205.62.207,202.89.233.100,4185,tcp
111.205.62.207,202.89.233.100,52738,tcp
111.205.62.207,202.89.233.100,4194,tcp
111.205.62.207,202.89.233.100,4209,tcp
111.205.62.207,202.89.233.100,55036,tcp
111.205.62.207,202.89.233.100,53122,tcp
111.205.62.207,202.89.233.100,53170,tcp
111.205.62.207,202.89.233.100,4288,tcp
111.205.62.207,202.89.233.100,61093,tcp
111.205.62.207,202.89.233.100,53072,tcp
111.205.62.207,202.89.233.100,8253,tcp
111.205.62.207,202.89.233.100,8377,tcp
111.205.62.207,202.89.233.100,8436,tcp
111.205.62.207,202.89.233.100,8435,tcp
111.205.62.207,202.89.233.100,8438,tcp
111.205.62.207,202.89.233.100,8437,tcp
111.205.62.207,202.89.233.100,12308,tcp
111.205.62.207,202.89.233.100,2810,tcp
111.205.62.207,202.89.233.100,53603,tcp
111.205.62.207,202.89.233.100,1505,tcp
111.205.62.207,202.89.233.100,1506,tcp
111.205.62.207,202.89.233.100,1508,tcp
111.205.62.207,202.89.233.100,1509,tcp
111.205.62.207,202.89.233.100,59478,tcp
111.205.62.207,202.89.233.100,62102,tcp
111.205.62.207,202.89.233.100,56862,tcp
111.205.62.207,202.89.233.100,56863,tcp
111.205.62.207,202.89.233.100,63458,tcp
111.205.62.207,202.89.233.100,23355,tcp
111.205.62.207,202.89.233.100,23356,tcp
111.205.62.207,202.89.233.100,50353,tcp
111.205.62.207,202.89.233.100,23704,tcp
111.205.62.207,202.89.233.100,23705,tcp
111.205.62.207,202.89.233.100,23725,tcp
111.205.62.207,202.89.233.100,23768,tcp
111.205.62.207,202.89.233.100,60391,tcp
111.205.62.207,202.89.233.100,24060,tcp
111.205.62.207,202.89.233.100,51504,tcp
111.205.62.207,202.89.233.100,53327,tcp
111.205.62.207,202.89.233.100,53338,tcp
111.205.62.207,202.89.233.100,53339,tcp
111.205.62.207,202.89.233.100,58873,tcp
111.205.62.207,202.89.233.100,58883,tcp
111.205.62.207,202.89.233.100,59022,tcp
111.205.62.207,202.89.233.100,59152,tcp
111.205.62.207,202.89.233.100,59190,tcp
111.205.62.207,202.89.233.100,59238,tcp
