110.241.215.236,118.184.169.48,40644,TCP
46.107.123.203,118.184.169.48,35350,TCP
223.90.237.39,118.184.169.48,24412,TCP
116.252.94.24,118.184.176.75,12366,TCP
27.129.234.158,118.184.169.48,17907,TCP
112.233.129.22,118.184.169.48,34381,TCP
106.4.129.30,118.184.169.48,58581,TCP
113.244.235.42,118.184.169.48,43696,TCP
120.225.111.187,118.184.169.48,10333,TCP
116.179.37.72,118.184.169.35,7425,TCP
119.98.59.58,118.184.169.48,41681,TCP
112.238.6.110,118.184.169.48,38473,TCP
101.19.50.196,118.184.169.48,12543,TCP
1.59.241.90,118.184.169.48,41430,TCP
124.114.206.140,118.184.169.48,2587,TCP
183.198.79.123,118.184.169.48,11522,TCP
