City,PacketSizeEntropy,TrafficPercentageOfS,TotalBytesFromCity
山东省-济南市,2.3019186075723654,0.16399366514415276,505200
山东省-枣庄市,2.2482655310144497,0.11071195454090409,341060
山东省-威海市,2.1804513598213093,0.030851064796714726,95040
山东省-东营市,2.268988767522045,0.05898188629590768,181700
山东省-德州市,2.3221179181969753,0.1354473410887751,417260
山东省-菏泽市,2.3409507492398944,0.0733556778489225,225980
山东省-滨州市,2.259479143946464,0.13145462121293766,404960
山东省-济宁市,2.3054712524870884,0.150730044483444,464340
山东省-滨州市,2.251009387490674,0.11962633015423248,377800
山东省-烟台市,2.33468344589583,0.18273254402331277,577100
山东省-临沂市,2.367332837102074,0.34927215389075617,1103060
山东省-东营市,2.2557742060925143,0.04611534865977347,145640
山东省-潍坊市,2.3220589888905767,0.24329297786475929,768360
山东省-德州市,2.3442123466611613,0.1447738239097887,457220
山东省-日照市,2.205559153802481,0.0706802260905976,223220
山东省-聊城市,2.362892009847428,0.17166283385340284,542140
山东省-枣庄市,2.331168756429486,0.07513217474588746,237280
山东省-青岛市,2.2607362772456985,0.16850910635648342,532180
山东省-济宁市,2.4280445895634974,0.15546356691139507,490980
山东省-菏泽市,2.207851984942652,0.05947752741178144,187840
山东省-济南市,2.4344103872253937,0.1264404080391427,399320
山东省-莱芜市,2.198755158925742,0.045570729051871726,143920
山东省-泰安市,2.204698354336974,0.13521764962695457,427040
山东省-淄博市,2.2055868596568855,0.15546356691139507,490980
山东省-威海市,2.420607728367946,0.02222807934575733,70200
山东省-临沂市,2.288285089755195,0.33429677372785266,1067040
山东省-东营市,2.2607432155610976,0.049989122447158654,159560
山东省-潍坊市,2.328890186706785,0.22303369434778295,711900
山东省-济宁市,2.3071320443973593,0.15658412759519863,499800
山东省-济南市,2.3930837039831148,0.12636382958032696,403340
山东省-烟台市,2.3008588757663695,0.16743661695073622,534440
山东省-泰安市,2.331134402407067,0.15582595714945957,497380
山东省-德州市,2.2973231403829275,0.138995826428343,443660
山东省-枣庄市,2.3396534515894847,0.11290473770059561,360380
山东省-威海市,2.3514097655573916,0.02456221609336449,78400
山东省-青岛市,2.442473858307362,0.16861460078378532,538200
山东省-滨州市,2.2630073698562714,0.12587509160704063,401780
山东省-淄博市,2.3661121156765006,0.1413580599658936,451200
山东省-莱芜市,2.2745186736312974,0.051229764994731655,163520
山东省-日照市,2.3128996015662198,0.083668181503749,267060
山东省-菏泽市,2.4041249314585618,0.07884346048540954,251660
山东省-聊城市,2.3261728877067465,0.15611418723626946,498300
山东省-枣庄市,2.274017983281088,0.0913924621204318,297240
山东省-日照市,1.9574278095494428,0.05944630139403944,193340
