Rank,scrIP,Location_src,dstIP,Location_dst
161,110.252.26.102,中国河北省沧州市,118.184.169.48,中国江苏省常州市
162,112.32.181.42,中国安徽省阜阳市,118.184.169.48,中国江苏省常州市
163,61.160.239.10,中国江苏省常州市,111.21.95.130,中国陕西省延安市
164,118.73.23.214,中国山西省临汾市,118.184.169.48,中国江苏省常州市
165,60.223.250.189,中国山西省晋中市,118.184.169.48,中国江苏省常州市
166,157.35.48.21,印度西孟加拉加尔各答,118.184.169.32,中国江苏省常州市
167,168.197.25.134,巴西,118.184.169.48,中国江苏省常州市
168,140.213.142.116,印度尼西亚,118.184.169.48,中国江苏省常州市
169,120.219.31.88,中国河南省郑州市,118.184.169.48,中国江苏省常州市
170,106.114.228.186,中国河北省石家庄市,118.184.169.48,中国江苏省常州市
171,112.7.86.239,中国山东省济宁市,118.184.169.48,中国江苏省常州市
172,120.208.40.249,中国山西省运城市,118.184.169.48,中国江苏省常州市
173,121.27.167.126,中国河北省邢台市,118.184.169.48,中国江苏省常州市
174,113.1.230.95,中国黑龙江省牡丹江市,118.184.169.48,中国江苏省常州市
175,111.17.55.139,中国山东省泰安市,118.184.169.48,中国江苏省常州市
176,112.32.243.103,中国安徽省阜阳市,118.184.169.48,中国江苏省常州市
177,119.251.182.59,中国河北省沧州市,118.184.169.48,中国江苏省常州市
178,118.184.176.3,中国江苏省常州市,118.184.176.76,中国江苏省常州市
179,114.105.86.92,中国安徽省阜阳市,118.184.169.48,中国江苏省常州市
180,182.32.176.14,中国山东省德州市,118.184.169.48,中国江苏省常州市
181,223.74.103.117,中国广东省深圳市,118.184.169.48,中国江苏省常州市
182,154.161.104.67,加纳,118.184.169.48,中国江苏省常州市
183,120.10.132.253,中国河北省沧州市,118.184.169.48,中国江苏省常州市
184,39.72.194.55,中国山东省日照市,118.184.169.48,中国江苏省常州市
185,39.67.67.31,中国山东省临沂市,118.184.169.48,中国江苏省常州市
186,118.184.176.3,中国江苏省常州市,118.184.176.78,中国江苏省常州市
187,172.16.100.2,中国江苏省常州市,172.18.11.28,中国江苏省常州市
188,219.156.250.212,中国河南省平顶山市,118.184.169.48,中国江苏省常州市
189,61.160.239.10,中国江苏省常州市,116.231.168.222,中国上海上海市
190,61.160.239.10,中国江苏省常州市,150.138.174.113,中国山东省青岛市
191,61.160.239.10,中国江苏省常州市,14.212.88.110,中国广东省佛山市
192,61.160.239.10,中国江苏省常州市,61.164.116.35,中国浙江省温州市
193,61.160.239.10,中国江苏省常州市,58.216.66.210,中国江苏省常州市
194,61.160.239.10,中国江苏省常州市,118.184.169.48,中国江苏省常州市
195,61.160.239.10,中国江苏省常州市,58.216.95.109,中国江苏省常州市
196,223.107.46.81,中国江苏省徐州市,118.184.169.48,中国江苏省常州市
197,61.160.239.10,中国江苏省常州市,220.167.106.21,中国四川省德阳市
198,49.215.235.157,中国台湾省台北,118.184.169.48,中国江苏省常州市
199,61.160.239.10,中国江苏省常州市,180.178.231.21,中国福建省厦门市
200,182.47.77.120,中国山东省滨州市,118.184.169.48,中国江苏省常州市
201,182.114.5.175,中国河南省三门峡市,118.184.169.48,中国江苏省常州市
202,61.160.239.10,中国江苏省常州市,114.105.75.78,中国安徽省阜阳市
203,223.12.70.13,中国山西省太原市,118.184.169.48,中国江苏省常州市
204,121.16.119.184,中国河北省沧州市,118.184.169.48,中国江苏省常州市
205,61.160.239.10,中国江苏省常州市,58.222.12.178,中国江苏省泰州市
206,1.189.119.252,中国黑龙江省哈尔滨市,118.184.169.48,中国江苏省常州市
207,61.160.239.10,中国江苏省常州市,58.216.66.203,中国江苏省常州市
208,61.160.239.10,中国江苏省常州市,58.216.95.84,中国江苏省常州市
209,61.160.239.10,中国江苏省常州市,58.216.66.224,中国江苏省常州市
210,61.160.239.10,中国江苏省常州市,58.216.66.65,中国江苏省常州市
211,61.160.239.10,中国江苏省常州市,220.188.67.9,中国浙江省金华市
212,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
213,61.160.239.10,中国江苏省常州市,58.216.95.124,中国江苏省常州市
214,61.160.239.10,中国江苏省常州市,58.216.66.241,中国江苏省常州市
215,101.27.183.73,中国河北省保定市,118.184.169.48,中国江苏省常州市
216,183.199.200.9,中国河北省邢台市,118.184.169.48,中国江苏省常州市
217,114.105.75.78,中国安徽省阜阳市,118.184.169.48,中国江苏省常州市
218,39.65.149.41,中国山东省青岛市,118.184.169.48,中国江苏省常州市
219,111.52.119.165,中国山西省临汾市,118.184.169.48,中国江苏省常州市
220,183.199.227.12,中国河北省衡水市,118.184.169.48,中国江苏省常州市
221,42.93.116.26,中国甘肃省庆阳市,118.184.169.48,中国江苏省常州市
222,105.74.73.124,摩洛哥,118.184.169.32,中国江苏省常州市
223,112.233.128.120,中国山东省临沂市,118.184.169.48,中国江苏省常州市
224,120.8.83.136,中国河北省邯郸市,118.184.169.48,中国江苏省常州市
225,118.73.121.182,中国山西省临汾市,118.184.169.48,中国江苏省常州市
226,183.217.225.124,中国江西省赣州市,118.184.169.48,中国江苏省常州市
227,175.175.191.128,中国辽宁省铁岭市,118.184.169.48,中国江苏省常州市
228,61.160.239.10,中国江苏省常州市,58.216.95.124,中国江苏省常州市
229,111.34.188.250,中国山东省滨州市,118.184.169.48,中国江苏省常州市
230,61.160.239.10,中国江苏省常州市,140.249.36.173,中国山东省青岛市
231,39.148.168.129,中国河南省郑州市,118.184.169.48,中国江苏省常州市
232,61.160.239.10,中国江苏省常州市,58.216.66.240,中国江苏省常州市
233,61.160.239.10,中国江苏省常州市,58.220.69.37,中国江苏省扬州市
234,61.160.239.10,中国江苏省常州市,58.216.12.47,中国江苏省常州市
235,61.160.239.10,中国江苏省常州市,180.97.194.237,中国江苏省常州市
236,61.160.239.10,中国江苏省常州市,113.219.226.186,中国湖南省长沙市
237,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
238,61.160.239.10,中国江苏省常州市,114.226.90.58,中国江苏省常州市
239,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
240,61.160.239.10,中国江苏省常州市,222.185.224.53,中国江苏省常州市
241,61.160.239.10,中国江苏省常州市,58.216.66.27,中国江苏省常州市
242,119.183.95.213,中国山东省日照市,118.184.169.48,中国江苏省常州市
243,61.160.239.10,中国江苏省常州市,58.216.66.68,中国江苏省常州市
244,61.160.239.10,中国江苏省常州市,180.97.194.221,中国江苏省常州市
245,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
246,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
247,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
248,61.160.239.10,中国江苏省常州市,182.207.211.114,中国辽宁省铁岭市
249,61.160.239.10,中国江苏省常州市,58.216.12.203,中国江苏省常州市
250,61.160.239.10,中国江苏省常州市,118.184.176.205,中国江苏省常州市
251,61.160.239.10,中国江苏省常州市,121.229.162.2,中国江苏省南京市
252,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
253,61.160.239.10,中国江苏省常州市,61.160.232.108,中国江苏省常州市
254,61.160.239.10,中国江苏省常州市,180.97.176.194,中国江苏省扬州市
255,119.54.174.121,中国吉林省四平市,118.184.169.48,中国江苏省常州市
256,120.216.227.228,中国河南省平顶山市,118.184.169.48,中国江苏省常州市
257,112.8.34.123,中国山东省临沂市,118.184.169.48,中国江苏省常州市
258,177.54.206.242,巴西,118.184.169.48,中国江苏省常州市
259,223.90.150.124,中国河南省开封市,118.184.169.48,中国江苏省常州市
260,101.72.50.146,中国河北省廊坊市,118.184.169.48,中国江苏省常州市
261,124.238.28.230,中国河北省沧州市,118.184.169.48,中国江苏省常州市
262,171.127.13.177,中国山西省大同市,118.184.169.48,中国江苏省常州市
263,36.62.54.237,中国安徽省阜阳市,118.184.169.48,中国江苏省常州市
264,110.244.219.242,中国河北省沧州市,118.184.169.48,中国江苏省常州市
265,122.225.122.106,中国浙江省湖州市,118.184.169.32,中国江苏省常州市
266,112.251.144.212,中国山东省临沂市,118.184.169.48,中国江苏省常州市
267,124.238.6.182,中国河北省沧州市,118.184.169.48,中国江苏省常州市
268,120.86.33.229,中国广东省惠州市,118.184.169.48,中国江苏省常州市
269,123.129.127.249,中国山东省东营市,118.184.169.48,中国江苏省常州市
270,114.235.51.58,中国江苏省徐州市,118.184.169.48,中国江苏省常州市
271,61.160.239.10,中国江苏省常州市,58.216.66.213,中国江苏省常州市
272,119.189.118.73,中国山东省聊城市,118.184.169.48,中国江苏省常州市
273,124.239.101.86,中国河北省衡水市,118.184.169.48,中国江苏省常州市
274,42.92.74.130,中国甘肃省庆阳市,118.184.169.48,中国江苏省常州市
275,89.99.153.7,中国甘肃省庆阳市,118.184.169.48,中国江苏省常州市
276,61.160.239.10,中国江苏省常州市,125.47.75.100,中国河南省郑州市
277,61.134.149.1,中国河北省保定市,118.184.169.48,中国江苏省常州市
278,61.160.239.10,中国江苏省常州市,58.216.29.210,中国江苏省常州市
279,112.244.106.108,中国山东省潍坊市,118.184.169.48,中国江苏省常州市
280,61.160.239.10,中国江苏省常州市,180.97.194.13,中国江苏省常州市
281,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
282,61.160.239.10,中国江苏省常州市,61.160.232.91,中国江苏省常州市
283,61.160.239.10,中国江苏省常州市,58.216.20.6,中国江苏省常州市
284,61.160.239.10,中国江苏省常州市,113.6.45.2,中国黑龙江省齐齐哈尔市
285,61.160.239.10,中国江苏省常州市,106.42.178.171,中国河南省商丘市
286,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
287,61.160.239.10,中国江苏省常州市,58.216.66.226,中国江苏省常州市
288,61.160.239.10,中国江苏省常州市,47.94.223.98,中国北京北京市
289,61.160.239.10,中国江苏省常州市,58.216.20.6,中国江苏省常州市
290,61.160.239.10,中国江苏省常州市,122.225.122.106,中国浙江省湖州市
291,61.160.239.10,中国江苏省常州市,122.225.122.106,中国浙江省湖州市
292,61.160.239.10,中国江苏省常州市,175.4.57.209,中国湖南省永州市
293,112.236.115.15,中国山东省济宁市,118.184.169.48,中国江苏省常州市
294,221.14.232.193,中国河南省平顶山市,118.184.169.48,中国江苏省常州市
295,27.153.203.34,中国福建省莆田市,118.184.169.48,中国江苏省常州市
296,61.160.239.10,中国江苏省常州市,123.138.195.214,中国陕西省宝鸡市
297,61.160.239.10,中国江苏省常州市,180.97.176.194,中国江苏省扬州市
298,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
299,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
300,61.160.239.10,中国江苏省常州市,118.184.176.141,中国江苏省常州市
301,61.160.239.10,中国江苏省常州市,58.216.66.240,中国江苏省常州市
302,61.160.239.10,中国江苏省常州市,180.97.194.16,中国江苏省常州市
303,61.160.239.10,中国江苏省常州市,123.185.136.252,中国辽宁省大连市
304,61.160.239.10,中国江苏省常州市,120.132.34.6,中国北京北京市
305,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
306,61.160.239.10,中国江苏省常州市,118.184.180.148,中国江苏省常州市
307,182.116.37.63,中国河南省鹤壁市,118.184.169.48,中国江苏省常州市
308,180.123.145.145,中国江苏省徐州市,118.184.169.48,中国江苏省常州市
309,119.182.20.86,中国山东省济宁市,118.184.169.48,中国江苏省常州市
310,101.16.53.11,中国河北省邢台市,118.184.169.48,中国江苏省常州市
311,61.160.239.10,中国江苏省常州市,180.97.194.250,中国江苏省常州市
312,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
313,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
314,61.160.239.10,中国江苏省常州市,180.97.176.196,中国江苏省扬州市
315,61.160.239.10,中国江苏省常州市,218.93.20.93,中国江苏省常州市
316,61.160.239.10,中国江苏省常州市,58.216.12.121,中国江苏省常州市
317,120.8.215.65,中国河北省邯郸市,118.184.169.48,中国江苏省常州市
318,61.160.239.10,中国江苏省常州市,114.216.199.221,中国江苏省苏州市
319,61.160.239.10,中国江苏省常州市,58.216.95.68,中国江苏省常州市
320,61.160.239.10,中国江苏省常州市,58.216.20.5,中国江苏省常州市
321,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
322,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
323,61.160.239.10,中国江苏省常州市,221.228.61.7,中国江苏省无锡市
324,61.160.239.10,中国江苏省常州市,58.216.20.18,中国江苏省常州市
325,61.160.239.10,中国江苏省常州市,58.216.95.84,中国江苏省常州市
326,61.160.239.10,中国江苏省常州市,118.184.169.48,中国江苏省常州市
327,61.160.239.10,中国江苏省常州市,114.233.247.87,中国江苏省泰州市
328,61.160.239.10,中国江苏省常州市,180.97.194.36,中国江苏省常州市
329,61.160.239.10,中国江苏省常州市,58.216.66.231,中国江苏省常州市
330,61.160.239.10,中国江苏省常州市,58.216.20.4,中国江苏省常州市
331,61.160.239.10,中国江苏省常州市,111.170.24.134,中国湖北省襄阳
332,120.216.255.242,中国河南省平顶山市,118.184.169.48,中国江苏省常州市
333,223.97.137.253,中国山东省烟台市,118.184.169.48,中国江苏省常州市
334,14.212.177.156,中国广东省佛山市,118.184.169.48,中国江苏省常州市
335,111.63.191.89,中国河北省张家口市,118.184.169.48,中国江苏省常州市
336,39.149.35.180,中国河南省南阳市,118.184.169.48,中国江苏省常州市
337,121.24.184.151,中国河北省邯郸市,118.184.169.48,中国江苏省常州市
338,36.32.156.113,中国安徽省亳州市,118.184.169.48,中国江苏省常州市
339,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
340,61.160.239.10,中国江苏省常州市,58.216.20.10,中国江苏省常州市
341,61.160.239.10,中国江苏省常州市,58.216.66.197,中国江苏省常州市
342,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
343,118.73.14.27,中国山西省临汾市,118.184.169.48,中国江苏省常州市
344,61.160.239.10,中国江苏省常州市,27.207.195.159,中国山东省德州市
345,61.160.239.10,中国江苏省常州市,58.216.66.219,中国江苏省常州市
346,61.160.239.10,中国江苏省常州市,118.184.169.48,中国江苏省常州市
347,61.160.239.10,中国江苏省常州市,58.216.66.235,中国江苏省常州市
348,61.160.239.10,中国江苏省常州市,39.166.164.245,中国江西省抚州市
349,61.160.239.10,中国江苏省常州市,61.134.72.185,中国甘肃省兰州市
350,61.160.239.10,中国江苏省常州市,58.216.12.152,中国江苏省常州市
351,61.160.239.10,中国江苏省常州市,118.184.178.251,中国江苏省常州市
352,61.160.239.10,中国江苏省常州市,180.97.54.77,中国江苏省南京市
353,61.160.239.10,中国江苏省常州市,49.67.144.16,中国江苏省南通市
354,61.160.239.10,中国江苏省常州市,58.216.12.199,中国江苏省常州市
355,61.160.239.10,中国江苏省常州市,220.185.175.123,中国浙江省台州市
356,61.160.239.10,中国江苏省常州市,180.97.194.16,中国江苏省常州市
357,142.250.189.10,美国加利福尼亚山景,45.73.180.66,中国江苏省常州市
358,142.250.189.10,美国加利福尼亚山景,45.73.180.66,中国江苏省常州市
359,223.98.109.18,中国山东省枣庄市,118.184.169.48,中国江苏省常州市
360,111.31.168.39,中国天津天津市,118.184.169.48,中国江苏省常州市
361,183.213.105.140,中国江苏省徐州市,118.184.169.48,中国江苏省常州市
362,107.10.209.125,中国江苏省徐州市,118.184.169.32,中国江苏省常州市
363,119.181.227.107,中国山东省淄博市,118.184.169.48,中国江苏省常州市
