City,PacketSizeEntropy,TrafficPercentageOfS,TotalBytesFromCity
江苏省-宿迁市,2.349031078377686,0.038629995444193654,122000
江苏省-无锡市,2.4968141896876457,0.037521757869974984,118500
江苏省-扬州市,2.421127473337187,0.0159206243519185,50280
江苏省-泰州市,2.10845859334435,0.01326085417379369,41880
江苏省-镇江市,1.8910611120726526,0.0077449974472539075,24460
江苏省-苏州市,2.4176286494293433,0.020049600914150343,63320
江苏省-常州市,7.4424846668185545,88.02683447171685,280972360
江苏省-盐城市,2.6888103894451842,0.15036211724297646,479940
江苏省-徐州市,2.297130839209361,0.2641315452040017,843080
江苏省-南通市,2.491205447394441,0.023083470430600713,73680
江苏省-宿迁市,2.3240541481467876,0.04673713516336881,149180
江苏省-南京市,3.0624321301644235,0.06597962639365512,210600
江苏省-连云港市,2.218020998101666,0.07825446856888499,249780
江苏省-淮安市,2.429231801659396,0.04232596166088703,135100
江苏省-扬州市,2.5492553971685,0.013020480878064136,41560
江苏省-无锡市,2.3641100641128987,0.03919302593469258,125100
江苏省-泰州市,2.3879185026711327,0.020044522776192095,63980
江苏省-苏州市,2.8895494308620875,0.014273655168541916,45560
江苏省-镇江市,1.75,0.005952577879769456,19000
江苏省-常州市,7.490072714044543,89.82814564374588,292152300
江苏省-徐州市,2.051467265190608,0.20969472199614617,682000
江苏省-宿迁市,2.1128568832565175,0.034018510325005295,110640
江苏省-连云港市,1.9962373408783638,0.07683681968744417,249900
江苏省-盐城市,2.2924696211329794,0.11735525145379629,381680
江苏省-扬州市,1.3787834934861756,0.005048661781784047,16420
江苏省-淮安市,1.8480208412025754,0.039380791778982994,128080
江苏省-南京市,2.710980541063141,0.04365462848828861,141980
江苏省-无锡市,2.6386573435308165,0.0362445950570465,117880
江苏省-苏州市,2.7855546320988784,0.0237182563853119,77140
江苏省-泰州市,2.3560376657099504,0.026196466736175445,85200
江苏省-南通市,2.4138338639736006,0.021621309165350436,70320
江苏省-镇江市,2.3535339485774815,0.012335707106283554,40120
江苏省-常州市,7.520818433291518,89.86804605319875,275829100
江苏省-徐州市,1.9464682646576337,0.17981487311077907,551900
江苏省-盐城市,2.0953217603936998,0.09432217025832676,289500
江苏省-南京市,2.776352363578731,0.030319934936925346,93060
江苏省-宿迁市,1.7981457277501014,0.03901907810064668,119760
江苏省-连云港市,2.0046625373516593,0.06418468926041579,197000
江苏省-苏州市,2.6219280948873624,0.020773684199208685,63760
江苏省-淮安市,2.134994206863861,0.040830585066575165,125320
江苏省-南通市,2.1999793267164867,0.01851907480995956,56840
江苏省-扬州市,2.406647097785926,0.020995235410869003,64440
江苏省-无锡市,2.4026464353038746,0.03173395296428679,97400
江苏省-泰州市,1.5709505944546687,0.00836681634623085,25680
江苏省-镇江市,1.4911148500551856,0.009168310435472591,28140
江苏省-常州市,7.513296141005126,89.92169061400243,280218900
江苏省-徐州市,2.004657829850348,0.20105544642883502,626540
江苏省-无锡市,3.228512576537732,0.04267301890718307,132980
江苏省-南京市,3.1748008763572906,0.034939376587562736,108880
江苏省-盐城市,2.229294305165347,0.1314398296313896,409600
江苏省-扬州市,1.7779849042597489,0.015640569570883615,48740
江苏省-宿迁市,2.3082708345352603,0.03284712148698495,102360
江苏省-连云港市,2.19138812791173,0.04932844387435841,153720
江苏省-南通市,1.9588718484453602,0.017315657243432085,53960
江苏省-淮安市,2.1241705843507033,0.04389243138911491,136780
江苏省-镇江市,1,0.0020601652984216824,6420
江苏省-苏州市,2.206238928653389,0.013618912035049252,42440
江苏省-泰州市,1.539484756931502,0.009902912945372759,30860
